subtype,BLOSUM Score,BLOSUM Score,BLOSUM Score,BLOSUM Score,Similarity Percentage,Similarity Percentage,Similarity Percentage,Similarity Percentage,Perplexity,Perplexity,Perplexity,Perplexity,Sequence pair
,mean,median,min,max,mean,median,min,max,mean,median,min,max,count
IGHV3,-62.5,-70.0,-75.0,-35.0,8.601556101556103,7.6576576576576585,6.363636363636363,12.727272727272727,25.691802501678467,25.347890853881836,24.878028869628906,27.19339942932129,4
IGHV4,-90.0,-90.0,-90.0,-90.0,8.035714285714286,8.035714285714286,8.035714285714286,8.035714285714286,27.54878044128418,27.54878044128418,27.54878044128418,27.54878044128418,1
IGKV1,229.22998164783155,339.0,-137.0,511.0,49.121604873886824,64.42307692307693,1.25,89.7196261682243,1.988895625938232,1.8539063930511475,1.340235710144043,38.95040512084961,20706
IGKV1/OR10,-66.0,-66.0,-66.0,-66.0,8.823529411764707,8.823529411764707,8.823529411764707,8.823529411764707,3.4001100063323975,3.4001100063323975,3.4001100063323975,3.4001100063323975,1
IGKV1/OR2,384.0,384.0,384.0,384.0,70.75471698113208,70.75471698113208,70.75471698113208,70.75471698113208,2.2421350479125977,2.2421350479125977,2.2421350479125977,2.2421350479125977,1
IGKV1D,194.32072368421052,307.0,-124.0,444.0,44.37177902123792,57.009345794392516,3.0927835051546393,80.37383177570094,2.0683020280772135,1.99777489900589,1.3809843063354492,25.822044372558594,608
IGKV2,-21.57254116599911,-19.0,-143.0,507.0,16.121920166215624,16.822429906542055,0.0,83.92857142857143,2.0888465157762655,1.911701500415802,1.4018733501434326,45.02654266357422,4494
IGKV2D,-21.632385120350108,-22.0,-148.0,446.0,16.325531613161825,16.19047619047619,0.9345794392523363,74.10714285714286,2.2513341066352126,2.0465307235717773,1.5543392896652222,28.055084228515625,457
IGKV3,127.02228612508986,69.0,-155.0,475.0,33.351164767368,27.102803738317753,0.0,82.56880733944955,2.0408961295853008,1.843697190284729,1.2600146532058716,45.145408630371094,8346
IGKV3/OR2,71.5,80.0,-85.0,211.0,24.465226833707387,26.008134302526827,7.526881720430108,38.31775700934579,3.0529505908489227,2.7276368141174316,1.7950423955917358,4.961486339569092,4
IGKV3D,134.9189189189189,87.0,-127.0,437.0,33.90986308838507,28.037383177570092,2.857142857142857,74.07407407407408,2.1809880466534826,2.057574510574341,1.3380274772644043,18.036422729492188,259
IGKV4,-29.99421965317919,-29.0,-137.0,499.0,15.551570456681551,15.59633027522936,1.8691588785046727,83.1858407079646,2.205028203411139,1.9181840419769287,1.4478555917739868,36.67790222167969,1038
IGKV5,99.78260869565217,28.0,-123.0,337.0,27.798633046476205,17.75700934579439,3.8461538461538463,55.140186915887845,4.432409977567369,4.393901348114014,2.80975079536438,9.104596138000488,69
IGKV6,154.47508896797154,235.5,-100.0,342.0,36.73412234030595,47.66355140186916,4.761904761904762,60.747663551401864,2.689055385962924,2.7023195028305054,1.4917277097702026,5.206227779388428,562
IGKV6D,157.82065217391303,242.5,-118.0,326.0,37.24381098034513,48.57091008075493,1.9047619047619049,57.009345794392516,2.5918682366609573,2.633005142211914,1.4877161979675293,4.016243934631348,184
IGLV1,41.16586345381526,-55.0,-118.0,486.0,23.46847756163521,11.214953271028037,2.666666666666667,84.54545454545455,2.231833280616975,2.040480136871338,1.3827153444290161,37.001365661621094,4980
IGLV10,56.346905537459286,-48.0,-113.0,320.0,23.255320137550385,11.11111111111111,5.9405940594059405,55.96330275229357,2.8185764740460857,2.6774418354034424,1.7924859523773193,37.01127243041992,1228
IGLV2,62.77967032967033,-60.0,-128.0,474.0,26.472558516561808,10.185185185185185,1.4492753623188406,82.72727272727273,2.3214275556387918,2.143109679222107,1.5390936136245728,39.46646499633789,5460
IGLV3,-25.63158668332476,-50.0,-136.0,501.0,14.683864834076699,10.784313725490197,1.0638297872340425,88.07339449541286,2.181851374285607,2.0595452785491943,1.452089786529541,37.20046615600586,13607
IGLV4,-16.67071320182094,-17.0,-98.0,92.0,15.9780554030456,15.887850467289718,3.3333333333333335,27.522935779816514,3.1383058239729884,2.8544983863830566,1.9612756967544556,34.7817497253418,659
IGLV5,-41.47299509001637,-39.0,-120.0,74.0,12.184670138529848,12.962962962962962,2.803738317757009,25.454545454545453,4.075265621007366,4.014276504516602,2.707637310028076,7.345741271972656,611
IGLV6,30.242424242424242,-35.0,-112.0,256.0,19.762463781872277,10.2803738317757,2.3255813953488373,49.09090909090909,2.501848429441452,2.4306706190109253,1.5352187156677246,15.419550895690918,2112
IGLV7,-20.052930056710775,-63.0,-125.0,452.0,14.701894401665738,10.909090909090908,4.166666666666666,77.77777777777779,2.8653047608743316,2.7011901140213013,1.828409194946289,35.771270751953125,1058
IGLV8,23.823776223776225,-44.0,-111.0,446.0,20.672838054633438,12.62135922330097,5.607476635514018,77.98165137614679,2.652844891848264,2.450331211090088,1.8430874347686768,30.815099716186523,715
IGLV9,-13.2,-10.0,-78.0,25.0,15.907749368592501,15.887850467289718,6.5420560747663545,20.909090909090907,4.509865278667874,4.205395221710205,3.319467306137085,7.144912242889404,45
